"id","year","state_name","state_code","district_name","district_code","registeration_circles","murder_with_rape_or_gang_rape","dowry_deaths","abetment_to_suicide_of_women","miscarriage","acid_attack","attempt_to_acid_attack","cruelty_by_husband_or_his_relatives","kidnapping_and_abduction_of_women_total","human_trafficking","selling_of_minor_girls","buying_of_minor_girls","rape","attempt_to_commit_rape","assault_on_women_with_intent_to_outrage_her_modesty","insult_to_the_modesty_of_women","dowry_prohibition","immoral_traffic_prevention_act_total","protection_of_women_from_domestic_violence_act","cyber_crimes_or_infor_tech_women_centric_crimes","prot_of_children_frm_sexual_viol_girl_child_victims","indecent_representation_of_women_prohibition","total_crime_against_women"
33,"2019-01-01","Himachal Pradesh","02","Shimla","023","Shimla",0.0,0.0,4.0,0.0,0.0,0.0,14.0,62.0,0.0,0.0,0.0,62.0,2.0,68.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,223.0
34,"2019-01-01","Himachal Pradesh","02","Sirmaur","024","Sirmaur",0.0,0.0,1.0,0.0,0.0,0.0,27.0,31.0,0.0,0.0,0.0,40.0,0.0,54.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,161.0
35,"2019-01-01","Himachal Pradesh","02","Una","026","Una",0.0,0.0,6.0,0.0,0.0,0.0,34.0,15.0,0.0,0.0,0.0,18.0,0.0,20.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,97.0
36,"2018-01-01","Himachal Pradesh","02","Bilaspur","015","Bilaspur",0.0,0.0,3.0,0.0,0.0,0.0,14.0,13.0,0.0,0.0,0.0,20.0,0.0,35.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,97.0
37,"2018-01-01","Himachal Pradesh","02","Chamba","016","Chamba",1.0,0.0,3.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,17.0,0.0,28.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,78.0
38,"2018-01-01","Himachal Pradesh","02","Hamirpur","017","Hamirpur",0.0,1.0,6.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,14.0,1.0,31.0,6.0,0.0,0.0,3.0,5.0,2.0,0.0,85.0
39,"2018-01-01","Himachal Pradesh","02","Kangra","018","Kangra",2.0,1.0,15.0,0.0,0.0,0.0,9.0,51.0,0.0,0.0,0.0,52.0,4.0,81.0,8.0,0.0,0.0,0.0,9.0,0.0,0.0,232.0
40,"2018-01-01","Himachal Pradesh","02","Kinnaur","019","Kinnaur",1.0,0.0,3.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,25.0
41,"2018-01-01","Himachal Pradesh","02","Kullu","020","Kullu",0.0,0.0,4.0,1.0,0.0,0.0,8.0,17.0,0.0,0.0,0.0,31.0,3.0,18.0,5.0,0.0,0.0,3.0,0.0,20.0,0.0,110.0
42,"2018-01-01","Himachal Pradesh","02","Lahul And Spiti","021","Lahul And Spiti",0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
43,"2018-01-01","Himachal Pradesh","02","Mandi","022","Mandi",0.0,1.0,9.0,0.0,0.0,0.0,50.0,65.0,0.0,0.0,0.0,48.0,0.0,94.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,288.0
44,"2018-01-01","Himachal Pradesh","02","Shimla","023","Shimla",0.0,0.0,6.0,0.0,0.0,0.0,18.0,69.0,0.0,0.0,0.0,40.0,2.0,79.0,24.0,1.0,4.0,1.0,1.0,0.0,0.0,245.0
45,"2018-01-01","Himachal Pradesh","02","Sirmaur","024","Sirmaur",0.0,1.0,7.0,0.0,0.0,0.0,9.0,39.0,0.0,0.0,0.0,55.0,0.0,57.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,177.0
46,"2018-01-01","Himachal Pradesh","02","Solan","025","Solan",3.0,0.0,8.0,0.0,0.0,0.0,21.0,31.0,0.0,0.0,0.0,36.0,0.0,58.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,164.0
