"id","year","state_name","state_code","district_name","district_code","registeration_circles","murder","abetment_of_suicide_of_child","attempt_to_commit_murder","infanticide","foeticide","exposure_and_abandonment","simple_hurt","grievous_hurt","kidnapping_and_abduction_of_children","human_trafficking_children_only","selling_of_minors_for_prostitution","buying_of_minors_for_prostitution","rape","attempt_to_commit_rape","aslt_on_women","insult_to_the_modesty_of_women","other_ipc_crimes","pocso_act","juveniles_justice_care_and_protection_of_children","immoral_traffic_prevention","child_labour_prohibition_and_regulation","prohibition_of_child_marriage","transplantation_of_human_organs_act","cyber_crimes_or_information_technology","other_sll_crimes","total_ipc_and_sll_crimes"
31,"2019-01-01","Himachal Pradesh","02","Lahul And Spiti","021","Lahul And Spiti",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"2019-01-01","Himachal Pradesh","02","Mandi","022","Mandi",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,54.0,0.0,28.0,0.0,8.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,119.0
33,"2019-01-01","Himachal Pradesh","02","Shimla","023","Shimla",0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,166.0,0.0,0.0,0.0,72.0,4.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
34,"2019-01-01","Himachal Pradesh","02","Sirmaur","024","Sirmaur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,42.0,0.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,66.0
35,"2019-01-01","Himachal Pradesh","02","Una","026","Una",2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,20.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,39.0
36,"2018-01-01","Himachal Pradesh","02","Bilaspur","015","Bilaspur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,13.0,0.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0
37,"2018-01-01","Himachal Pradesh","02","Chamba","016","Chamba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
38,"2018-01-01","Himachal Pradesh","02","Hamirpur","017","Hamirpur",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,9.0,0.0,10.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0
39,"2018-01-01","Himachal Pradesh","02","Kangra","018","Kangra",1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,64.0,0.0,0.0,0.0,27.0,4.0,14.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,125.0
40,"2018-01-01","Himachal Pradesh","02","Kinnaur","019","Kinnaur",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0
