"id","year","state_name","state_code","district_name","district_code","registeration_circles","murder","attempt_to_commit_murder","simple_hurt","grievous_hurt","aslt_on_adult_women","sexual_harassment","assault_on_women_with_intent_to_disrobe","voyeurism","stalking","assault_of_children","insult_to_the_modesty_of_women","kidnapping_and_abduction","rape","attempt_to_commit_rape","rioting","robbery","dacoity","arson","criminal_intimidation","other_ipc_crimes","sc_st_prevention_of_atrocities_act","protection_of_civil_rights_act","total_crime"
33,"2019-01-01","Himachal Pradesh","02","Mandi","022","Mandi",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"2019-01-01","Himachal Pradesh","02","Shimla","023","Shimla",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"2019-01-01","Himachal Pradesh","02","Sirmaur","024","Sirmaur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"2019-01-01","Himachal Pradesh","02","Solan","025","Solan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"2019-01-01","Himachal Pradesh","02","Una","026","Una",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"2018-01-01","Himachal Pradesh","02","Bilaspur","015","Bilaspur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,"2018-01-01","Himachal Pradesh","02","Chamba","016","Chamba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"2018-01-01","Himachal Pradesh","02","Hamirpur","017","Hamirpur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"2018-01-01","Himachal Pradesh","02","Kangra","018","Kangra",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
42,"2018-01-01","Himachal Pradesh","02","Kinnaur","019","Kinnaur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"2018-01-01","Himachal Pradesh","02","Kullu","020","Kullu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"2018-01-01","Himachal Pradesh","02","Lahul And Spiti","021","Lahul And Spiti",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
